_id,name,cuisines,address,priceRange,timeOpen,average_score,classification,latitude,longitude
67812ec1514dba6089ed9391,"Bánh Bao, Há Cảo & Xíu Mại - Cô Giang",Món Việt,"61/30 Cô Giang, P. Cầu Ông Lãnh, Quận 1, TP. HCM",6.000đ - 50.000đ,14:00 - 23:00,7.149230769230769,Positive,10.764351996371609,106.69633866531014
67812ec1514dba6089ed9148,Anh Thư - Bánh Cuốn Cao Bằng,Món Việt,"54/158 Phố Ngọc Hà, P. Ngọc Hà, Quận Ba Đình, Hà Nội",10.000đ - 35.000đ,06:00 - 12:30,7.14,Positive,21.036623943012298,105.82891156396119
67812ec1514dba6089ed917e,"Al Fresco's - Pizza, Mỳ Ý, Sườn, Steak Bò Bít Tết - The Garden",Ý,"Tầng G, The Garden, Mễ Trì, Quận Nam Từ Liêm, Hà Nội",150.000đ - 350.000đ,10:00 - 22:00,7.14,Positive,,
67812ec1514dba6089ed9368,Cơm Tấm Oanh - Bình Thới,Món Việt,"595 Bình Thới, P. 10, Quận 11, TP. HCM",25.000đ - 35.000đ,06:30 - 00:00,7.120785953177258,Positive,10.764262760369993,106.64484466841657
67812ec1514dba6089ed9296,Bún Bung Bà Minh,Hà Nội,"612 Trường Chinh, Quận Đống Đa, Hà Nội",25.000đ - 30.000đ,06:30 - 10:00,7.12,Positive,21.003176870421576,105.82028209798365
67812ec1514dba6089ed9193,KuTe Bakery - Bánh Ngọt Pháp,Pháp,"68 Nguyễn Khuyến, Quận Hà Đông, Hà Nội",50.000đ - 100.000đ,08:00 - 22:00,7.1,Positive,20.976371231530326,105.78822158319159
67812ec1514dba6089ed919d,Bánh Đa Hiền Béo,Món Việt,"Ô Chợ Dừa, P. Ô Chợ Dừa, Quận Đống Đa, Hà Nội",20.000đ - 30.000đ,06:00 - 14:00,7.1,Positive,21.019838265174368,105.82750509679228
67812ec1514dba6089ed933a,Zen Tea - 30 Tháng 4,Món Việt,"326 Đường 30 Tháng 4, P. Trung Dũng, Thành Phố Biên Hòa, Đồng Nai",15.000đ - 30.000đ,08:00 - 22:30,7.091153846153846,Positive,10.948708933685687,106.82011531852005
67812ec1514dba6089ed93bf,"Highlands Coffee - Trà, Cà Phê & Bánh - Tòa Nhà Sài Gòn Giải Phóng",Món Việt,"436 Nguyễn Thị Minh Khai, P. 5, Quận 3, TP. HCM",10.000đ - 65.000đ,07:00 - 22:00,7.083076923076924,Positive,10.769284602924326,106.68527146259628
67812ec1514dba6089ed9171,Gà Rán KFC - Times City,Mỹ,"Tầng B1, Times City, 458 Minh Khai, P. Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội",30.000đ - 88.000đ,09:00 - 22:00,7.08,Positive,,
67812ec1514dba6089ed9263,Spaghetti Box - Ngõ 12 Núi Trúc,Ý,"10 Ngõ 12 Núi Trúc, P. Giảng Võ, Quận Ba Đình, Hà Nội",15.000đ - 61.000đ,09:00 - 20:45,7.08,Positive,21.028490117485394,105.8227966221838
67812ec1514dba6089ed91d3,Tiến Béo - Vịt Cỏ,Món Việt,"210 Hào Nam, P. Ô Chợ Dừa, Quận Đống Đa, Hà Nội",30.000đ - 150.000đ,17:30 - 23:30,7.08,Positive,21.02609442596583,105.82743949397302
67812ec1514dba6089ed9482,Pizza Hut - Ba Cu,Ý,"256 Ba Cu, P. 4, Tp. Vũng Tàu, Vũng Tàu",40.000đ - 250.000đ,10:00 - 22:00,7.064423076923077,Positive,10.353816887394355,107.0816828564105
67812ec1514dba6089ed92a6,Bia Cô Kim - Lương Ngọc Quyến,Món Việt,"45 Lương Ngọc Quyến, Quận Hoàn Kiếm, Hà Nội",50.000đ - 150.000đ,18:00 - 23:00,7.06,Positive,21.0347146,105.8519663
67812ec1514dba6089ed9120,Gimbab & Kim Chi Hàn Quốc,Món Hàn,"Ngõ 1 Đại Học Hà Nội, Nguyễn Trãi, Quận Thanh Xuân, Hà Nội",50.000đ - 120.000đ,10:00 - 22:00,7.06,Positive,,
67812ec1514dba6089ed918c,Mugong Tea - Trà Sữa Đài Loan - Nguyễn Trãi,Đài Loan,"531 Nguyễn Trãi, Quận Thanh Xuân, Hà Nội",25.000đ - 55.000đ,08:00 - 23:00,7.06,Positive,21.000608382577344,105.81683479389888
67812ec1514dba6089ed923d,Ngà Bún Riêu - Ngõ Đình Đại,Món Việt,"Ngõ Đình Đại, Bạch Mai, Quận Hai Bà Trưng, Hà Nội",35.000đ - 45.000đ,18:00 - 23:30,7.06,Positive,,
67812ec1514dba6089ed948b,Cơm Tấm 67 - Lê Lai,Món Việt,"86 Lê Lai, P. 1, Tp. Vũng Tàu, Vũng Tàu",10.000đ - 32.000đ,07:00 - 13:30 | 17:00 - 20:00,7.057692307692308,Positive,10.347863729311063,107.07890802608581
67812ec1514dba6089ed943c,Thương Thương - Lươn Xứ Nghệ,Món Bắc,"121 Bàu Cát, P. 14, Quận Tân Bình, TP. HCM",5.000đ - 40.000đ,06:30 - 13:00 | 16:30 - 19:30,7.041538461538462,Positive,10.792632870364583,106.64210171491705
67812ec1514dba6089ed93f9,Trà Sữa Maycha - Ngô Tất Tố,Món Việt,"65 Ngô Tất Tố, P. 21, Quận Bình Thạnh, TP. HCM",12.000đ - 34.000đ,09:00 - 22:30,7.04,Positive,,
67812ec1514dba6089ed9226,Thủy - Bún Ốc Thịt Bò,Món Việt,"13 Hòe Nhai, Quận Ba Đình, Hà Nội",25.000đ - 44.000đ,06:00 - 21:00,7.04,Positive,21.0422886,105.84799075000001
67812ec1514dba6089ed91dd,Bún Đậu Mẹt - Phan Huy Ích,Món Việt,"23 Phan Huy Ích, Quận Ba Đình, Hà Nội",25.000đ - 50.000đ,10:00 - 14:00,7.04,Positive,21.041421074568653,105.84567135180039
67812ec1514dba6089ed9200,Xôi Gà Bỏ Lò - 198 Xã Đàn - Shop Online,Món Việt,"10 Ngõ 198 Xã Đàn, Quận Đống Đa, Hà Nội",50.000đ - 200.000đ,08:30 - 19:00,7.04,Positive,21.01142933644626,105.83717459135056
67812ec1514dba6089ed9433,Hạnh Nguyện - Nhà Hàng Chay,Món Việt,"6 Hiền Vương, P. Hiệp Phú, Tp. Thủ Đức, TP. HCM",20.000đ - 50.000đ,06:30 - 21:00,7.0375,Positive,10.846977922747723,106.77599357498723
